rank,conference,code,ft50_rate,top3_rate,ft50_papers,top3_papers,presented,years,source
1,Rothschild Caesarea Conference,ROTHSCHILD,0.8750,0.6667,21,16,24,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
2,FMA Napa Conference on Financial Markets,FMA_NAPA,0.8500,0.6250,34,25,40,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
3,Utah Winter Finance Conference,UTAH_WFC,0.7889,0.5222,71,47,90,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
4,NBER Behavioral Finance,NBER_BF,0.7841,0.5227,69,46,88,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
5,Oregon Summer Finance Conference,OREGON_SF,0.7778,0.6944,28,25,36,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
6,Jackson Hole Finance Conference,JHFC,0.7407,0.6481,40,35,54,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
7,WFA-CFAR Conference,WFA_CFAR,0.7313,0.6269,49,42,67,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
8,Texas Finance Festival,TFF,0.7237,0.5921,55,45,76,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
9,NBER Asset Pricing (Summer Institute),NBER_APSI,0.7182,0.4364,79,48,110,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
10,NBER Asset Pricing,NBER_AP,0.7156,0.5413,78,59,109,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
11,Red Rock Finance Conference,RED_ROCK,0.7100,0.5400,71,54,100,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
